n_points_in       x_min       y_min       z_min       x_max       y_max       z_max      dx_out      dy_out      dz_out
       21822  1152.77000    71.07100     0.00000 25779.70000  9926.20000     1.00000     9.47609     9.47609     1.00000
x(m)        y(m)        z(m)        h max (m)
 24794.20000    71.07070     0.00000     5.81580
 24870.00000    71.07070     0.00000   123.26910
 24945.80000    71.07070     0.00000   163.28300
 25021.60000    71.07070     0.00000     4.57530
 25097.40000    71.07070     0.00000     4.57310
 25173.20000    71.07070     0.00000     4.57660
 25249.00000    71.07070     0.00000     4.58590
 25324.80000    71.07070     0.00000     4.61950
 25400.70000    71.07070     0.00000     4.58510
 25476.50000    71.07070     0.00000     4.58760
 25552.30000    71.07070     0.00000     4.58260
 25628.10000    71.07070     0.00000     4.57630
 25703.90000    71.07070     0.00000     4.57490
 25779.70000    71.07070     0.00000     4.69940
 24727.40000    80.06090     0.00000     6.81550
 24718.40000    84.06360     0.00000     6.72000
 24674.90000   103.41500     0.00000     4.41710
 24642.60000   117.81600     0.00000     6.03590
 24622.50000   126.76900     0.00000     0.00000
 24642.60000   146.87900     0.00000     5.62710
 24718.40000   146.87900     0.00000     5.93040
 24794.20000   146.87900     0.00000     6.02350
 24870.00000   146.87900     0.00000     4.89020
 24945.80000   146.87900     0.00000     4.57120
 25021.60000   146.87900     0.00000     4.88600
 25097.40000   146.87900     0.00000     4.57880
 25173.20000   146.87900     0.00000     4.57250
 25249.00000   146.87900     0.00000     4.58580
 25324.80000   146.87900     0.00000     4.58900
 25400.70000   146.87900     0.00000     4.57260
 25476.50000   146.87900     0.00000     4.59040
 25552.30000   146.87900     0.00000     4.59440
 25628.10000   146.87900     0.00000    87.61290
 25703.90000   146.87900     0.00000    37.38320
 25779.70000   146.87900     0.00000     4.97100
 24577.30000   146.87900     0.00000     4.33550
 24570.00000   150.12400     0.00000     4.34970
 24566.80000   151.56800     0.00000     4.34980
 24517.60000   173.47800     0.00000     0.00000
 24491.00000   185.32000     0.00000     4.06210
 24465.10000   196.83200     0.00000     4.44430
 24415.10000   219.07200     0.00000     8.47650
 24412.60000   220.18600     0.00000     8.47320
 24415.10000   222.68800     0.00000     8.47650
 24491.00000   222.68800     0.00000     6.05970
 24566.80000   222.68800     0.00000     5.64930
 24642.60000   222.68800     0.00000     4.57810
 24718.40000   222.68800     0.00000     5.08710
 24794.20000   222.68800     0.00000     4.60980
 24870.00000   222.68800     0.00000     4.69430
 24945.80000   222.68800     0.00000     4.57870
 25021.60000   222.68800     0.00000     4.57560
 25097.40000   222.68800     0.00000     4.57840
 25173.20000   222.68800     0.00000     4.58150
 25249.00000   222.68800     0.00000     4.57780
 25324.80000   222.68800     0.00000     4.58850
 25400.70000   222.68800     0.00000     4.57320
 25476.50000   222.68800     0.00000     4.57150
 25552.30000   222.68800     0.00000     7.47530
 25628.10000   222.68800     0.00000     4.58320
 25703.90000   222.68800     0.00000     4.58670
 25779.70000   222.68800     0.00000     5.16170
 24407.00000   222.68800     0.00000     8.48510
 24360.20000   243.54000     0.00000     4.54330
 24339.30000   252.82400     0.00000     0.00000
 24307.70000   266.89500     0.00000     4.73830
 24263.50000   286.57700     0.00000     8.08990
 24255.30000   290.24900     0.00000     5.28160
 24263.50000   298.49700     0.00000     6.27750
 24339.30000   298.49700     0.00000     6.44670
 24415.10000   298.49700     0.00000     4.93780
 24491.00000   298.49700     0.00000     4.61580
 24566.80000   298.49700     0.00000     4.57580
 24642.60000   298.49700     0.00000     4.58180
