n_points_in       x_min       y_min       z_min       x_max       y_max       z_max      dx_out      dy_out      dz_out
       21822  1152.77000    71.07100     0.00000 25779.70000  9926.20000     1.00000     9.47609     9.47609     1.00000
x(m)        y(m)        z(m)        q(m^2/s)
 24794.20000    71.07070     0.00000   205.21500
 24870.00000    71.07070     0.00000   187.04660
 24945.80000    71.07070     0.00000   246.82680
 25021.60000    71.07070     0.00000   150.25230
 25097.40000    71.07070     0.00000   163.37630
 25173.20000    71.07070     0.00000   258.14040
 25249.00000    71.07070     0.00000   150.16470
 25324.80000    71.07070     0.00000   150.74110
 25400.70000    71.07070     0.00000   161.23120
 25476.50000    71.07070     0.00000   150.62290
 25552.30000    71.07070     0.00000   150.45210
 25628.10000    71.07070     0.00000   150.08640
 25703.90000    71.07070     0.00000   172.61340
 25779.70000    71.07070     0.00000   196.95660
 24727.40000    80.06090     0.00000   160.96530
 24718.40000    84.06360     0.00000   169.75040
 24674.90000   103.41500     0.00000   215.24790
 24642.60000   117.81600     0.00000   193.20720
 24622.50000   126.76900     0.00000   233.08130
 24642.60000   146.87900     0.00000   196.71110
 24718.40000   146.87900     0.00000   275.74710
 24794.20000   146.87900     0.00000   166.44880
 24870.00000   146.87900     0.00000   191.86350
 24945.80000   146.87900     0.00000   173.85720
 25021.60000   146.87900     0.00000   263.85670
 25097.40000   146.87900     0.00000   149.73150
 25173.20000   146.87900     0.00000   152.19000
 25249.00000   146.87900     0.00000   203.54880
 25324.80000   146.87900     0.00000   168.15710
 25400.70000   146.87900     0.00000   176.73200
 25476.50000   146.87900     0.00000   253.82830
 25552.30000   146.87900     0.00000   174.24620
 25628.10000   146.87900     0.00000   168.17720
 25703.90000   146.87900     0.00000   150.87300
 25779.70000   146.87900     0.00000   163.52160
 24577.30000   146.87900     0.00000   154.32400
 24570.00000   150.12400     0.00000   293.54840
 24566.80000   151.56800     0.00000   295.84790
 24517.60000   173.47800     0.00000     0.00000
 24491.00000   185.32000     0.00000     0.00000
